,id,asset_type,offering_type,annual_return_label,asset_class,asset_type.1,capital_request,closed_on,current_preferred_return,deal_size,distribution_frequency,em_asset_manager,entity_type,equity_multiple,interest_day_count_convention,investment_increment,investment_strategy,irr,lien_position,ltv,matures_on,maximum_investment_amount,minimum_investment_amount,offering_approach,offering_strategy,offering_type.1,preferred_return_label,project_stage,projected_annual_return,rate,redemption_period,restricted_to,sponsor_id,status,subtype,term,term_period,total_preferred_return,type,unit_cost,xirr,Investment Status,Stage,Sponsor,Investment Type_x,Property Type_x,Units / Rooms / Lots_x,SF_x,Investment Date_x,Exit Date,Senior Debt_x,Sub-Debt_x,Preferred Equity_x,Equity_x,Total Capitalization_x,EM Investment_x,Deal Leverage % @ Closing_x,EM Last $ Exposure @ Closing_x,Pro Forma / Realized Return,Gross Return Multiple,eFront Dist Freq,Total Return,DISTRIBUTIONS\Interest Payment,DISTRIBUTIONS\Principal Payment,DISTRIBUTIONS\Distribution,DISTRIBUTIONS\Return of Capital,Location,Investment Type_y,Property Type_y,Units / Rooms / Lots_y,SF_y,Investment Date_y,Projected Exit Date,Senior Debt_y,Sub-Debt_y,Preferred Equity_y,Equity_y,Total Capitalization_y,EM Investment_y,Deal Leverage % @ Closing_y,EM Last $ Exposure @ Closing_y,Gross Proceeds Received To Date,Remaining Exposure %
39,"Columbus, OH - Courtyard by Marriott Hotel Loan",Hotel,Senior Debt,Annual Return Objective,real_estate,Hotel,2000000,10/17/19 18:28,,14405000,Monthly,9038,individual,,Actual/365,5000,Value Add,,Junior Participation,66%,10/31/21,1000000,10000,Direct,Debt,Senior Debt,Total Preferred Return,Value Add,,12%,,none,101,published,1st_lien,24,Month(s),,none,5000,,Active,Lease-up,BridgeInvest,Senior Debt,Hotel,150,"48,786",11/15/19,10/31/21,"9,500,000","800,000", -   ,"4,105,000","14,405,000","2,000,000",66%,66%,12%,0%,Month,"71,333.33","71,333.33", -   , -   , -   ,"Columbus, OH",Senior Debt,Hotel,150,48786,43784,44500,9500000,800000,0,4105000,14405000,2000000,0.659493232,0.659493232,71333.33337,0.964333333
40,Crossings at Elver Park,Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,2500000,2/26/21 0:00,,9738110,Quarterly,9738,llc,,Actual/365,5000,Value Add,,,,,,,Direct,Equity,Equity,Total Preferred Return,Value Add,,,,506(B),160,published,preferred,24,Month(s),,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Distressed Opportunity Fund,Multi-Asset,Debt + Equity,Annual Return Objective,real_estate,Multi-Asset,5000000,7/31/20 18:24,,7500000000,Quarterly,9738,llc,,Actual/360,5000,Value Add,,,,,5000000,50000,Fund,Equity,Debt + Equity,Total Preferred Return,Value Add,,,,506(B),111,published,1st_lien,10,Year(s),,none,5000,,Active,Development,Starwood Capital Group,LP Equity,Multi-Asset,, N/A ,9/25/20,9/30/30, -   , -   , -   , -   , -   ,"1,880,000",not upload,,,0%,Quarter, -   , -   , -   , -   , -   ,"National, National",LP Equity,Multi-Asset,,,44099,47756,0,0,0,0,0,1880000,not upload,,0,1
42,Downtown Brooklyn Residential Loan,Condo,Mezzanine Debt,Annual Return Objective,real_estate,Condo,7000000,1/28/19 14:48,,97974277,Monthly,9038,individual,,Actual/365,5000,Opportunistic,,,70%,3/28/22,1000000,10000,Direct,Debt,Mezzanine Debt,Total Preferred Return,Entitlement,,10%,,506(C),78,published,mezzanine,20,Month(s),,none,5000,,Active,Development,Tall Pines Capital,Mezzanine Debt,Condo,63,"110,573",3/28/18,3/28/22,"64,387,500","15,562,500", -   ,"18,024,277","97,974,277","6,425,000",82%,82%,12%,0%,Month,"1,036,958.39","1,036,958.39", -   , -   , -   ,"Brooklyn, NY",Mezzanine Debt,Condo,63,110573,43187,44648,64387500,15562500,0,18024277,97974277,6425000,0.816030518,0.816030518,1036958.39,0.838605698
43,Downtown Greenville - The McClaren,Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,3060000,2/15/20 10:22,,56293677,Quarterly,9738,llc,,Actual/365,5000,Opportunistic,,,,2/28/30,3000000,50000,Tax-Deferred,"Equity,Opportunity Zone",Equity,Total Preferred Return,Development,,,,506(B),102,published,common,10,Year(s),,opportunity_zone,5000,,Active,Development,Lighthouse Living,LP Equity,Multifamily,244,"314,183",3/2/20,2/28/30,"37,000,000", -   , -   ,"19,118,270","56,118,270","2,700,000",66%,100%,,0%,Quarter, -   , -   , -   , -   , -   ,"Greenville, SC",LP Equity,Multifamily,244,314183,43892,47542,37000000,0,0,19118269.61,56118269.61,2700000,0.659321826,1,0,1
44,Downtown Greenville - The McClaren (EM 86),Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,3060000,2/15/20 23:30,,56293677,Quarterly,9738,llc,,Actual/365,5000,Opportunistic,,,,2/28/30,1000000,40000,Tax-Deferred,"Equity,Opportunity Zone",Equity,Total Preferred Return,Development,,,,506(B),102,published,common,10,Year(s),,opportunity_zone,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Echo Park Multifamily Senior Loan,Multifamily,Senior Debt,Annual Return Objective,real_estate,Multifamily,1200000,1/28/21 0:00,,1814769,Monthly,9738,individual,,Actual/365,5000,Value Add,,First,73%,,,,Direct,Debt,Senior Debt,Total Preferred Return,Value Add,,7.50%,,506(B),110,published,1st_lien,24,Month(s),,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Fairfield Inn & Suites Senior Construction Loan,Hotel,Senior Debt,Annual Return Objective,real_estate,Hotel,3000000,9/1/21 16:38,,33707245,Monthly,79,individual,,Actual/365,5000,Opportunistic,,B-Note,75%,9/1/21,1000000,20000,Direct,Debt,Senior Debt,Total Preferred Return,Entitlement,,12%,,none,90,published,1st_lien,24,Month(s),,none,5000,,Active,Development,Kuber Hotel Group,Senior Debt,Hotel,128,"64,033",8/31/19,9/1/21,"30,000,000", -   , -   ,"4,398,216","34,398,216","3,000,000",87%,87%,13%,0%,Month,"501,583.33","501,583.33", -   , -   , -   ,"San Francisco, CA",Senior Debt,Hotel,128,64033,43708,44440,30000000,0,0,4398216,34398216,3000000,0.872138253,0.872138255,501583.3331,0.832805556
47,Ft. Lauderdale - Cash Flowing Office,Office,Preferred Equity,Annual Return Objective,real_estate,Office,965000,1/24/20 15:02,9%,3506623,Quarterly,79,llc,,Actual/365,5000,Value Add,0%,,85%,10/20/20,1000000,10000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Stabilized,,,,506(B),77,published,preferred,24,Month(s),13.50%,none,5000,,Realized,Sold,Ghitis Property Company,Preferred Equity,Office,16,"27,350",2/19/20,10/20/20,"2,012,500", -   ,"965,000","529,123","3,506,623","965,000",85%,85%,19%,112%,Quarter,"1,061,116.59","96,116.59","965,000.00", -   , -   ,,,,,,,,,,,,,,,,,
48,Getaway Leased Cash Flowing Campground,Campground,Preferred Equity,Annual Return Objective,real_estate,Campground,100000,6/15/16 8:00,13%,365569,Monthly,9738,llc,1.4x,Actual/365,5000,Opportunistic,13%,,,5/30/18,100000,5000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Entitlement,13-13%,,,506(C),44,published,preferred,3,Year(s),13%,none,5000,0.136209629,Realized,Sold,"Little Antlers, LLC",Preferred Equity,Campground,18,"6,918",7/15/16,5/31/18,"252,000", -   ,"100,000","13,569","365,569","100,000",96%,96%,16%,122%,Month,"121,616.84","21,616.84","100,000.00", -   , -   ,,,,,,,,,,,,,,,,,
49,Government Office Redevelopment,Office,Preferred Equity,Annual Return Objective,real_estate,Office,2000000,12/31/20 18:48,11%,40255000,Monthly,79,individual,,Actual/360,5000,Opportunistic,,,79%,6/30/22,2000000,15000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Value Add,,,,none,158,published,preferred,18,Month(s),15%,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Hartford, CT - Last Mile Industrial Facility",Industrial,Equity,Annual Return Objective,real_estate,Industrial,2180000,6/30/20 14:56,,2180000,Quarterly,9038,individual,,Actual/365,5000,Core-Plus,,,,9/30/23,1000000,15000,Direct,Equity,Equity,Total Preferred Return,Value Add,,,,none,95,published,preferred,36,Month(s),,none,5000,,Active,Lease-up,Ultimate Realty,LP Equity,Industrial,8,"256,373",9/30/20,10/31/23,"4,070,000", -   , -   ,"2,511,250","6,581,250","2,135,000",62%,100%,0%,0%,Quarter, -   , -   , -   , -   , -   ,"Windsor, CT",LP Equity,Industrial,8,256373,44104,45230,4070000,0,0,2511250,6581250,2135000,0.618423552,1,0,1
51,Harvard Heights LA Multifamily Value Add,Multifamily,Equity,Stabilized Return on Cost,real_estate,Multifamily,540000,10/24/17 10:41,,1653974,Quarterly,79,llc,1.8x,Actual/365,5000,Value Add,21%,,,5/18/18,540000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,7%,,,506(C),65,published,common,3,Year(s),,none,5000,0.478560072,Realized,Sold,Silvershore Properties,LP Equity,Multifamily,8,"6,452",11/16/17,5/17/18,"1,028,400", -   , -   ,"625,574","1,653,974","545,000",62%,100%,9%,105%,Quarter,"570,663.26", -   , -   ,"25,663.26","545,000.00",,,,,,,,,,,,,,,,,
52,Hawaii Residential Construction Loan,Residential,Senior Debt,Annual Return Objective,real_estate,Residential,500000,8/12/16 8:00,,5150000,Monthly,9038,llc,,Actual/365,5000,Value Add,,First,62%,9/30/21,500000,5000,Direct,Debt,Senior Debt,Total Preferred Return,Entitlement,,10%,,506(C),47,published,1st_lien,12,Month(s),,none,5000,,Active,Sale,Private Capital Group,Senior Debt,Residential,6,"11,415",10/10/16,9/30/21,"5,100,000", -   , -   , -   ,"5,100,000","335,000",100%,100%,11%,0%,Month,"55,379.71","55,379.71", -   , -   , -   ,"Kahuku, HI",Senior Debt,Residential,6,11415,42653,44469,5100000,0,0,0,5100000,335000,1,1,55379.71,0.834687433
53,HFZ Lionbridge Fund,Multi-Asset,Equity,Annual Return Objective,real_estate,Multi-Asset,6000000,6/30/20 18:24,,50000000,Quarterly,,llc,,Actual/360,5000,Value Add,,,,,5000000,30000,Fund,Equity,Equity,Total Preferred Return,Value Add,,,,506(B),112,published,preferred,,Year(s),,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Hightstown, NJ - Bank Street Predevelopment",Multifamily,Preferred Equity,Annual Return Objective,real_estate,Multifamily,1100000,12/1/20 0:00,8%,16595505,Monthly,9738,llc,,Actual/365,5000,Opportunistic,,,53%,6/1/22,1100000,15000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Entitlement,,,,506(B),120,published,preferred,18,Month(s),10%,none,5000,,Active,Development,Crimson Capital,Preferred Equity,Land,388,"378,817",12/1/20,6/30/22,"6,000,000", -   ,"2,822,581","7,772,924","16,595,505","1,100,000",53%,43%,11%,0%,Month, -   , -   , -   , -   , -   ,"Hightstown, NJ",Preferred Equity,Land,388,378817,44166,44742,6000000,0,2822581,7772924,16595505,1100000,0.531624738,0.427826692,0,1
55,"Historic Boutique Hotel Conversion - Savannah, GA",Hotel,Equity,Annual Return Objective,real_estate,Hotel,500000,4/26/16 8:00,,20600000,Quarterly,10529,llc,3.0-3.2x,Actual/365,5000,Core,21-24%,,,6/30/23,500000,5000,Direct,Equity,Equity,Total Preferred Return,Entitlement,17-20%,,,506(C),39,published,common,7,Year(s),,none,5000,,Active,Lease-up,Maypole Group,LP Equity,Hotel,50,"35,000",5/2/16,6/30/23,"18,000,000","2,500,000", -   ,"5,136,510","25,636,510","500,000",80%,100%,0%,0%,Quarter, -   , -   , -   , -   , -   ,"Savannah, GA",LP Equity,Hotel,50,35000,42492,45107,18000000,2500000,0,5136510,25636510,500000,0.799640825,1,0,1
56,Historic Detroit Office Senior Bridge Loan,Office,Senior Debt,Annual Return Objective,real_estate,Office,2000000,1/25/19 13:11,,37735880,Monthly,,llc,,Actual/365,5000,Value Add,,First,53%,5/27/19,1000000,10000,Direct,Debt,Senior Debt,Total Preferred Return,Entitlement,,10.50%,,506(B),80,published,1st_lien,4,Month(s),,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Hotel Indigo Acquisition & Development Loan,Hotel,Senior Debt,Annual Return Objective,real_estate,Hotel,800000,5/1/17 8:00,,7875000,Monthly,9038,llc,,Actual/365,5000,Opportunistic,,First,80%,12/23/19,500000,10000,Direct,Debt,Senior Debt,Total Preferred Return,Entitlement,,11%,,506(C),47,published,1st_lien,6,Month(s),,none,5000,,Realized,Sold,Private Capital Group,Senior Debt,Hotel,140,"29,621",5/1/17,12/20/19,"7,875,000", -   , -   ,"1,923,416","9,798,416","800,000",80%,8%,10%,126%,Month,"1,005,637.78","205,637.78","800,000.00", -   , -   ,,,,,,,,,,,,,,,,,
58,Houston Heights Multifamily Repositioning,Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,600000,8/4/17 12:53,,1875278,Quarterly,9038,llc,1.5-1.6x,Actual/365,5000,Value Add,24-27%,,,9/30/23,600000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,7-9%,,,506(C),64,published,common,3,Year(s),,none,5000,,Active,Stabilized,CBMJ Investments,LP Equity,Multifamily,10,"7,500",9/19/17,9/30/23,"1,235,000", -   , -   ,"662,794","1,897,794","560,000",65%,100%,,0%,Quarter,"129,584.29", -   , -   ,"62,758.08","66,826.21","Houston, TX",LP Equity,Multifamily,10,7500,42997,45199,1235000,0,0,662794,1897794,560000,0.650755561,1,129584.29,0.768599482
59,"Houston, TX - Fairmont on San Felipe Apartments",Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,2000000,9/16/20 0:00,,93695439,Quarterly,,individual,1.6x,Actual/360,5000,Core-Plus,11%,,,,1000000,10000,Direct,Equity,Equity,Total Preferred Return,Stabilized,8%,,,none,119,published,common,5,Year(s),,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Houston, TX - Stabilized Multifamily Recapitalization",Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,430000,9/11/20 0:00,8%,2303000,Monthly,9038,llc,,Actual/365,5000,Core,,,81%,9/30/23,370000,10000,Direct,Preferred Equity,Equity,Total Preferred Return,Stabilized,,,,none,115,published,preferred,36,Month(s),13%,none,5000,,Active,Lease-up,Cooper Street Capital,Preferred Equity,Multifamily,10,"8,100",9/30/20,9/30/23,"1,498,000", -   ,"430,000","435,000","2,363,000","430,000",82%,82%,14%,0%,Month,"6,665.00","6,665.00", -   , -   , -   ,"Houston, TX",Preferred Equity,Multifamily,10,8100,44104,45199,1498000,0,430000,435000,2363000,430000,0.815911976,0.815911976,6665,0.9845
61,"Houston, TX - Value-Add Multifamily (Allocation II)",Multifamily,Preferred Equity,Annual Return Objective,real_estate,Multifamily,1000000,11/20/20 0:00,9%,16366000,Monthly,9038,llc,,Actual/360,5000,Value Add,,,73%,9/30/23,2500000,10000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Value Add,,,,none,115,published,preferred,22,Month(s),14.50%,none,5000,,Active,Renovation,Cooper Street Capital,Preferred Equity,Multifamily,72,"52,950",11/20/20,10/31/22,"8,416,166", -   ,"3,500,683","4,450,000","16,366,849","1,000,000",73%,73%,16%,0%,Month,"11,666.67","11,666.67", -   , -   , -   ,"Houston, TX",Preferred Equity,Multifamily,72,52950,44155,44865,8416166,0,3500683,4450000,16366849,1000000,0.728108935,0.728108935,11666.6667,0.988333333
62,"Houston, TX - Value-Add Multifamily Recapitalization",Multifamily,Preferred Equity,Annual Return Objective,real_estate,Multifamily,3000000,,9%,15970000,Monthly,9038,llc,,Actual/360,5000,Value Add,,,72%,9/30/23,1000000,20000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Value Add,,,,none,115,published,preferred,24,Month(s),15%,none,5000,,Active,Renovation,Cooper Street Capital,Preferred Equity,Multifamily,72,"52,950",9/20/20,10/31/22,"8,416,166", -   ,"3,500,683","4,450,000","16,366,849","2,500,000",73%,73%,16%,0%,Month,"43,055.56","43,055.56", -   , -   , -   ,"Houston, TX",Preferred Equity,Multifamily,72,52950,44094,44865,8416166,0,3500683,4450000,16366849,2500000,0.728108935,0.728108935,43055.5556,0.982777778
63,Hudson Yards Luxury Condo,Condo,Mezzanine Debt,Annual Return Objective,real_estate,Condo,2100000,12/31/20 19:02,,20247497,Monthly,79,llc,,Actual/365,5000,Opportunistic,,Subordinate Mezzanine,78%,12/31/21,1000000,10000,Direct,Debt,Mezzanine Debt,Total Preferred Return,Development,,13.50%,,none,92,published,mezzanine,10,Month(s),,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Indianapolis - Staybridge Suites Loans,Hotel,Mezzanine Debt,Annual Return Objective,real_estate,Hotel,2250000,1/31/20 17:28,,2400000,Monthly,79,llc,,Actual/365,5000,Value Add,,Mezzanine,66%,2/26/27,1000000,15000,Direct,Debt,Mezzanine Debt,Total Preferred Return,Value Add,,11.50%,,none,108,published,mezzanine,70,Month(s),,none,5000,,Active,Lease-up,Peachtree Hotel Group | Stonehill,Mezzanine Debt,Hotel,201,"116,611",1/31/20,2/26/27,"15,000,000","2,400,000", -   ,"950,000","18,350,000","2,250,000",95%,95%,13%,0%,Month,"121,364.53","117,513.18","3,851.35", -   , -   ,"Indianapolis & Phoenix, IN",Mezzanine Debt,Hotel,201,116611,43861,46444,15000000,2400000,0,950000,18350000,2250000,0.948228883,0.948228883,121364.53,0.946060209
65,Jacksonville Value-Add Multifamily,Multifamily,Preferred Equity,Annual Return Objective,real_estate,Multifamily,2575000,3/31/21 20:38,8%,32900000,Monthly,79,individual,,Actual/360,5000,Value Add,,,70%,3/31/23,2500000,20000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Value Add,,,,none,165,published,preferred,24,Month(s),11%,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Long Island - Self-Storage Development,Self-Storage,Equity,Annual Return Objective,real_estate,Self-Storage,785000,,,19400000,Quarterly,9038,llc,,Actual/360,5000,Opportunistic,,,,6/30/24,785000,10000,Direct,Equity,Equity,Total Preferred Return,Development,,,,506(B),86,published,preferred,48,Month(s),,none,5000,,Active,Development,Wildflower LTD,LP Equity,Self Storage,868,"120,845",6/16/20,6/30/24,"11,834,000", -   , -   ,"7,596,078","19,430,078","785,000",61%,100%,,0%,Quarter, -   , -   , -   , -   , -   ,"Holbrook, NY",LP Equity,Self Storage,868,120845,43998,45473,11834000,0,0,7596078.022,19430078.02,785000,0.609055712,1,0,1
67,Los Angeles - Arlington Avenue Loan,Multifamily,Senior Debt,Annual Return Objective,real_estate,Multifamily,1000000,,,1758417,Monthly,9738,llc,,Actual/365,5000,Value Add,0.02,First,62%,11/6/20,1000000,10000,Direct,Debt,Senior Debt,Total Preferred Return,Value Add,,7.00%,,506(B),110,published,1st_lien,12,Month(s),,none,5000,,Realized,Sold,Sunday Capital,Senior Debt,Multifamily,9,"6,849",3/31/20,10/20/20,"1,087,500", -   , -   ,"670,917","1,758,417","470,000",62%,62%,9%,105%,Month,"22,876.61","22,876.61", -   , -   , -   ,,,,,,,,,,,,,,,,,
68,Los Angeles - Melrose Co-Living,Multifamily,Preferred Equity,Annual Return Objective,real_estate,Multifamily,2500000,9/30/20 18:48,9%,27095808,Monthly,9038,individual,,Actual/365,5000,Opportunistic,,,70%,9/30/22,2000000,10000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Development,,,,none,121,published,preferred,23,Month(s),15%,none,5000,,Active,Development,Six Peak Capital,Preferred Equity,Multifamily,141,"57,145",9/30/20,9/30/22,"15,100,000", -   ,"3,500,000","8,495,808","27,095,808","2,500,000",69%,65%,16%,0%,Month,"41,937.23","41,937.23", -   , -   , -   ,"Los Angeles, CA",Preferred Equity,Multifamily,141,57145,44104,44834,15100000,0,3500000,8495808,27095808,2500000,0.686453048,0.649546971,41937.2294,0.983225108
69,Los Angeles Multifamily Portfolio Value-Add,Multifamily,Equity,Stabilized Return on Cost,real_estate,Multifamily,600000,8/8/17 8:00,,5149750,Quarterly,79,llc,1.28-1.34x,Actual/365,5000,Core,16-21%,,,6/30/25,600000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,6%,,,506(C),62,published,common,2,Year(s),,none,5000,,Active,Stabilized,Bold Partners,LP Equity,Multifamily,16,"12,828",8/8/17,6/30/25,"6,048,000", -   , -   ,"363,708","6,411,708","628,000",94%,100%,0%,0%,Quarter,"574,489.17", -   , -   , -   ,"574,489.17","Los Angeles, CA",LP Equity,Multifamily,16,12828,42955,45838,6048000,0,0,363707.918,6411707.918,628000.06,0.943274409,1,574489.17,0.085208415
70,"Macon, Georgia - Amazon Warehouse",Industrial,Equity,Annual Return Objective,real_estate,Industrial,1500000,,,78507852,Monthly,9738,llc,,Actual/365,5000,Core,,,,1/10/25,10000000,20000,Direct,Equity,Equity,Total Preferred Return,Stabilized,,,,506(B),105,published,common,55,Month(s),,exchange_1031,5000,,Active,Stabilized,Mirae Asset Securities & Investments (USA),LP Equity,Industrial,1,"1,016,041",5/20/20,1/10/25,"42,100,000", -   , -   ,"36,407,852","78,507,852","2,345,000",54%,100%,,0%,Month,"106,323.74","106,323.74", -   , -   , -   ,"Macon, GA",LP Equity,Industrial,1,1016041,43971,45667,42100000,0,0,36407852,78507852,2345000,0.536252094,1,106323.74,0.954659386
71,"Macon, Georgia - Amazon Warehouse DST",Industrial,Equity,Annual Return Objective,real_estate,Industrial,6000000,,,78507852,Monthly,,llc,,Actual/365,1,Core,,,,1/10/25,10000000,100000,Tax-Deferred,"Equity,1031",Equity,Total Preferred Return,Stabilized,,,,506(B),105,published,common,5,Year(s),,none,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Manhattan - Luxury Condo,Condo,Mezzanine Debt,Annual Return Objective,real_estate,Condo,6000000,3/31/20 19:02,,184507344,Monthly,79,llc,,Actual/365,5000,Opportunistic,,Mezzanine,78%,3/31/21,1000000,20000,Direct,Debt,Mezzanine Debt,Total Preferred Return,Development,,15%,,none,92,published,mezzanine,10,Month(s),,none,5000,,Active,Development,Happy Living Development,Mezzanine Debt,Condo,155,"168,275",3/31/20,3/31/21,"156,160,000","6,000,000","4,100,000","17,977,344","184,237,344","6,000,000",88%,88%,18%,0%,Month,"640,603.00","640,603.00", -   , -   , -   ,"New York City, NY",Mezzanine Debt,Condo,155,168275,43921,44286,156160000,6000000,4100000,17977343.65,184237343.7,6000000,0.880169008,0.880169008,640603.0001,0.893232833
73,Metro Phoenix - Airport Logistics,Industrial,Equity,Annual Return Objective,real_estate,Industrial,1020000,,,41810726,Quarterly,,llc,,Actual/365,5000,Opportunistic,,,,,1000000,50000,Tax-Deferred,"Equity,Opportunity Zone",Equity,Total Preferred Return,Development,,,,506(B),84,published,preferred,10,Year(s),,opportunity_zone,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Mid-City LA Multifamily Value Add - 18th Street,Multifamily,Equity,Stabilized Return on Cost,real_estate,Multifamily,600000,9/1/17 8:00,,1978750,Quarterly,79,individual,1.7x,Actual/365,5000,Value Add,21%,,,3/17/18,600000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,6%,,,none,65,published,preferred,3,Year(s),,none,5000,0.397410828,Realized,Sold,Silvershore Properties,LP Equity,Multifamily,7,"6,227",9/6/17,3/7/18,"1,278,750", -   , -   ,"700,000","1,978,750","600,000",65%,100%,42%,119%,Quarter,"713,709.04", -   , -   ,"113,709.04","600,000.00",,,,,,,,,,,,,,,,,
75,Mid-City LA Multifamily Value Add - 3rd Avenue,Multifamily,Equity,Stabilized Return on Cost,real_estate,Multifamily,600000,11/7/17 7:00,,1963438,Quarterly,79,llc,1.7x,Actual/365,5000,Value Add,20%,,,9/5/19,600000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,6%,,,506(C),65,published,common,3,Year(s),,none,5000,,Realized,Sold,Silvershore Properties,LP Equity,Multifamily,8,"4,301",11/6/17,9/5/19,"1,270,000", -   , -   ,"693,438","1,963,438","600,000",65%,100%,-28%,55%,Quarter,"329,066.00", -   , -   , -   ,"329,066.00",,,,,,,,,,,,,,,,,
76,Mid-City LA Multifamily Value Add - 4th Avenue,Multifamily,Equity,Stabilized Return on Cost,real_estate,Multifamily,660000,2/13/18 10:54,,1857200,Quarterly,79,llc,1.35x,Actual/365,5000,Value Add,17%,,,8/9/18,660000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,5%,,,506(C),65,published,common,2,Year(s),,none,5000,,Realized,Sold,Silvershore Properties,LP Equity,Multifamily,8,"3,800",3/15/18,8/9/18,"1,090,500", -   , -   ,"766,700","1,857,200","660,000",59%,100%,6%,102%,Quarter,"676,190.42", -   , -   ,"16,190.42","660,000.00",,,,,,,,,,,,,,,,,
77,Midtown Detroit Multifamily Portfolio,Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,500000,5/15/17 1:00,,6171153,Quarterly,9038,llc,1.7-1.9x,Actual/365,5000,Value Add,17-20%,,,5/15/22,500000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,6-7%,,,506(C),30,published,common,5,Year(s),,none,5000,,Active,Sale/Lease-up,Millennial Partners,LP Equity,Multifamily,63,"10,920",5/14/17,5/15/22,"5,000,000", -   , -   ,"2,321,153","7,321,153","325,000",68%,100%,0%,0%,Quarter, -   , -   , -   , -   , -   ,"Detroit, MI",LP Equity,Multifamily,63,10920,42869,44696,5000000,0,0,2321153,7321153,325000,0.682952535,1,0,1
78,Milwaukee Value Add Office,Office,Equity,Annual Return Objective,real_estate,Office,500000,12/22/15 7:00,,9100000,Quarterly,79,llc,1.8-2.0x,Actual/365,1000,Value Add,16-20%,,,8/7/19,500000,5000,Direct,Equity,Equity,Total Preferred Return,Entitlement,8-10%,,,506(C),30,published,common,5-Mar,Year(s),,none,1000,,Realized,Sold,Millennial Partners,LP Equity,Office,,"86,664",12/22/15,8/7/19,"4,266,000", -   , -   ,"3,381,000","7,647,000","300,000",56%,100%,22%,195%,Quarter,"584,819.58", -   , -   ,"300,000.25","284,819.33",,,,,,,,,,,,,,,,,
79,National Stabilized Multifamily Fund - Continental Properties,Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,5000000,,,597397000,Quarterly,9738,llc,,Actual/365,5000,Core,,,,7/1/29,1000000,30000,Fund,Equity,Equity,Total Preferred Return,Stabilized,,,,506(B),9,published,preferred,10,Year(s),,none,5000,,Active,Stabilized,Continental Properties,LP Equity,Multifamily,3047,"2,995,201",4/1/20,7/1/29,"438,897,000", -   , -   ,"158,500,000","597,397,000","2,975,000",73%,100%,,0%,Quarter,"134,221.99","133,992.35", -   ,"53,783.99","-53,554.35","National, National",LP Equity,Multifamily,3047,2995201,43922,47300,438897000,0,0,158500000,597397000,2975000,0.734682297,1,134221.99,0.954883365
